car,truck,bus,bicycle,lorry,Average speed(Km/h)
14,1,2,28,4,4.46
11,5,1,35,2,2.2
12,2,1,23,2,7.6
10,4,2,12,3,6.71
11,5,6,14,1,4.45
5,4,3,48,2,7.38
9,1,6,31,2,6.18
5,5,5,13,4,9.08
9,3,1,10,4,7.09
11,1,6,20,1,5.09
13,2,4,40,3,8.29
13,4,2,13,1,5.81
5,1,6,16,3,6.27
19,1,3,39,2,5.75
5,5,4,29,2,1.76
16,2,3,10,1,6.18
7,4,4,14,3,1.97
6,3,6,24,2,4.45
6,4,2,33,1,4.62
11,1,1,29,2,2.31
12,3,1,42,3,9.45
5,2,1,46,2,2.26
11,3,5,32,1,9.49
20,4,6,28,4,6.25
10,5,1,13,3,5.42
16,2,2,40,3,3.68
10,5,6,35,2,2.3
19,4,2,44,2,8.22
19,1,4,47,1,9.76
8,5,3,20,2,7.5
20,1,4,29,1,6.78
16,3,2,29,4,7.05
11,3,3,18,2,2.12
17,1,6,44,1,7.27
10,1,4,14,1,8.54
15,1,5,24,3,2.43
17,1,5,24,1,5.02
6,4,4,36,3,7.25
9,1,4,31,3,5.02
12,3,6,40,1,2.08
14,2,4,19,4,8.1
14,5,1,10,2,4.79
13,2,4,30,3,8.23
10,3,1,33,4,9.34
18,5,2,22,2,3.39
14,2,1,32,4,9.8
11,3,4,35,4,1.23
16,3,1,42,1,4.29
7,3,1,47,3,7.09
9,5,6,34,2,6.59
13,2,3,10,4,6.69
16,5,4,21,4,9.9
16,5,3,39,1,3.08
11,4,2,49,3,4.23
18,1,2,46,3,2.1
16,5,1,39,2,2.28
20,4,1,12,2,1.01
13,5,3,38,2,1.97
20,5,5,43,4,7.53
5,4,5,43,2,1.37
8,3,6,24,2,5.02
5,2,2,43,2,8.48
19,5,4,19,4,5.64
16,5,4,27,4,1.11
17,2,3,15,1,1.51
6,5,4,49,1,5.9
9,5,6,48,4,9.56
13,5,3,23,1,7.92
11,3,4,27,3,8.31
9,4,3,13,4,3.26
9,4,6,15,4,6.09
5,1,2,31,2,2.15
16,2,3,16,2,6.46
12,2,6,10,1,7.25
7,2,4,16,2,4.55
16,2,3,49,4,2.63
5,5,1,11,2,3.02
16,3,3,25,3,2.15
8,4,4,15,4,7.37
14,3,3,13,1,9.67
19,3,4,32,3,9.81
13,3,3,10,1,1.1
20,2,6,21,1,3.57
10,2,6,46,1,9.76
6,1,3,18,2,6.62
6,4,2,40,3,3.08
17,2,1,22,1,4.6
5,1,5,19,4,2.2
6,3,4,10,2,2.05
14,5,4,17,4,8.92
11,1,1,50,4,2.2
14,5,3,23,1,9.57
17,4,2,21,1,5.94
15,4,3,33,2,9.67
5,3,4,17,3,6.56
15,3,6,37,3,9.58
14,5,5,32,4,8.55
10,2,1,32,2,9.86
7,4,4,40,1,9
20,1,6,33,1,3.44
18,3,3,24,4,8
8,1,1,18,2,6.62
8,5,2,20,4,5.66
7,1,5,35,2,5.64
13,5,2,42,2,4.75
17,1,5,16,4,9.65
11,5,4,18,1,9.7
12,1,5,30,2,3.18
16,4,2,12,1,9.69
9,3,4,48,1,8.49
7,1,6,37,1,4.05
8,2,3,30,2,7.88
9,3,2,44,2,6.99
9,5,5,46,2,1.6
6,2,4,30,2,5.35
5,2,2,20,1,5.4
6,1,4,20,4,1.25
8,4,1,44,2,8.32
7,1,4,17,4,2.03
16,3,6,46,1,5.98
17,3,3,37,3,4.32
7,2,5,10,3,3.55
9,3,5,39,2,5.54
20,2,2,30,1,3.39
9,1,1,16,2,9.69
15,2,3,25,1,9.42
16,5,3,29,3,2.48
15,4,1,48,2,3.12
14,3,4,34,2,7.2
14,3,1,34,1,2.01
8,5,2,20,1,3.8
11,4,6,21,4,4.73
10,5,5,37,4,8.46
20,2,6,29,2,2.37
15,2,5,22,1,4.52
7,2,1,40,2,3.01
19,1,3,31,3,2.95
11,4,6,21,1,9.95
9,3,4,50,4,6.03
5,5,6,26,4,7
5,2,2,26,1,7.97
14,2,4,16,1,1.35
11,2,5,18,4,2.84
19,5,5,30,3,9.76
8,5,2,42,1,4.11
18,3,3,19,3,2.16
8,2,5,43,4,4.26
19,5,3,19,2,8.6
10,4,1,44,2,1.44
11,1,6,19,1,4.07
17,4,3,44,4,7.95
9,1,5,18,3,5.32
18,2,4,35,3,9.42
5,5,1,50,1,2.51
11,1,2,47,2,1.67
17,5,1,31,2,4.44
16,5,3,45,1,9.26
7,3,6,30,2,3.9
19,3,3,43,3,1.31
10,5,3,37,2,1.3
6,1,4,40,3,2.33
9,5,5,42,4,9.6
6,4,4,33,3,4.1
19,1,4,21,4,3.07
5,2,6,23,2,5.15
17,5,2,31,3,6.06
7,2,3,48,4,9.52
11,2,3,49,1,9.9
14,5,5,34,1,5.42
13,4,6,30,3,2.36
8,2,1,28,3,3.64
17,2,5,13,2,1.23
10,2,1,13,3,8.74
7,4,5,22,1,2.22
9,1,1,41,2,4.52
20,3,6,48,2,9.43
14,4,2,22,4,4.1
6,3,2,42,2,3.31
20,2,6,17,3,6.33
19,1,5,46,2,7.22
8,2,4,36,3,8.48
17,3,6,44,2,7.18
10,4,6,48,3,6.55
20,4,4,41,1,4.4
15,5,4,14,4,3.86
15,2,2,11,1,1.23
16,3,1,44,1,7.08
17,3,1,13,3,7.1
20,5,6,45,3,1.47
18,1,6,25,2,5.21
20,4,3,17,4,4.31
13,1,4,35,3,8.93
8,4,6,23,4,7.12
18,4,3,38,2,5.66
14,2,3,50,2,4.41
10,3,4,43,2,3.4
16,3,4,38,3,7.13
17,2,3,40,2,8.79
13,1,1,35,3,4.43
14,3,6,31,3,1.36
13,3,4,29,1,8.57
19,4,6,35,4,8.41
17,1,1,37,2,2.79
18,3,2,12,2,1.63
15,3,4,32,1,1.72
7,4,5,20,4,2.34
7,5,2,33,4,1.52
7,2,6,34,3,3.21
6,4,4,38,4,9.13
19,2,4,48,1,4.56
20,2,5,26,4,5.98
10,2,1,13,3,4.67
19,1,2,20,4,3.1
13,1,2,24,4,1.17
13,5,1,12,4,1.5
20,2,5,33,1,7.39
9,4,4,47,3,8.34
6,2,3,24,2,7.98
20,1,3,34,2,1.23
20,4,5,34,2,7.93
17,3,4,42,3,1.74
13,5,4,49,2,8.9
19,2,1,18,1,2.77
5,3,1,47,3,5.42
17,2,1,24,4,3.51
15,5,1,14,3,3.32
9,1,5,31,1,3.17
16,3,1,11,3,7.89
5,4,3,33,3,8.26
9,4,1,36,1,9.14
11,1,6,44,4,5.04
10,3,5,49,4,4.28
11,3,4,17,4,2.36
8,3,6,40,4,9.79
10,2,2,47,1,4.39
13,2,4,20,3,4.02
9,1,4,31,3,6.86
12,2,1,27,1,7.87
16,4,6,36,4,7.9
13,2,3,10,4,3.6
19,4,6,40,1,7.93
12,3,3,45,3,7.25
11,3,3,18,4,7.7
19,1,3,19,2,8.77
20,5,2,25,3,6.14
20,3,5,41,2,4.75
20,4,1,46,4,3.77
16,2,2,47,3,9.24
11,4,3,44,2,9.14
12,5,3,32,2,1.99
16,5,2,12,4,6.22
11,2,2,22,2,7.71
15,1,4,25,2,4.4
18,5,2,12,1,1.98
9,3,3,13,4,2.63
19,4,5,28,2,3.43
18,5,4,13,1,5.06
19,2,5,23,4,3.12
16,4,5,18,4,1.09
20,4,5,29,1,4.95
6,4,3,15,1,7.86
12,5,6,32,1,9.74
15,3,6,46,3,3.62
20,1,4,11,4,9.59
5,1,4,28,1,7.47
14,1,5,26,1,3.79
13,1,1,14,4,5.2
10,5,5,25,2,7.65
13,4,3,18,4,9.5
6,2,6,38,2,2.7
7,2,4,22,1,4.92
18,4,3,36,3,9.78
9,5,1,14,4,7.2
7,2,4,23,3,8.22
8,2,3,24,1,2.62
15,5,6,22,2,2.55
17,4,6,27,3,3.96
7,1,1,41,3,7.03
9,3,6,40,3,3.38
8,2,4,16,4,5.89
11,1,2,23,2,6.89
13,5,5,50,1,9.75
16,4,3,39,4,7.37
9,1,4,14,2,8.12
18,5,1,26,3,3.52
20,3,2,21,1,1.09
15,3,2,19,1,7.95
5,3,1,16,4,3.86
12,3,5,31,2,3.37
15,3,5,13,2,5.4
6,3,4,35,3,3.08
7,5,6,10,1,4.22
7,1,1,26,2,7.13
20,3,2,41,4,4.93
13,3,1,16,3,5.29
17,2,4,28,1,6.01
7,3,3,11,3,8.95
18,3,5,18,1,9.67
11,1,5,29,1,8.01
14,4,3,28,4,1.91
13,2,5,49,1,2.96
17,3,1,38,1,8.15
15,3,5,45,4,1.05
11,1,3,29,3,2.16
13,2,4,19,1,6.98
14,2,1,38,1,1.48
16,2,2,15,4,4.97
14,4,1,29,1,9.66
12,4,6,48,2,9.48
7,5,4,34,4,5.15
10,2,3,20,2,2.06
5,5,4,35,4,2.14
9,4,5,35,1,5.7
7,1,6,22,1,2.91
8,5,5,45,1,9.06
18,4,2,26,4,6.12
9,2,1,12,4,8.58
5,4,1,28,2,1.07
13,5,2,46,3,8.87
9,3,6,28,2,2.67
14,3,1,29,1,5.54
10,2,1,26,3,7.91
10,4,5,10,4,3.56
19,1,5,20,3,1.31
15,2,1,17,2,6.84
16,5,4,43,2,5.17
20,4,6,29,3,4.54
19,2,2,21,2,4.83
19,4,2,50,4,6.58
18,1,4,11,3,2.95
20,3,3,25,3,1.17
8,1,2,15,4,1.07
19,1,6,34,4,3.06
14,1,1,49,1,7.94
9,1,5,28,4,4.17
11,2,6,36,1,9.7
17,1,1,47,1,6.5
14,4,4,18,2,8.38
19,1,5,36,1,6.34
19,3,4,19,2,7.08
7,1,6,23,3,6.7
20,2,3,45,1,6.5
15,2,3,35,2,8.3
8,4,3,16,3,2.92
11,1,2,35,3,2.22
19,3,1,33,4,3.2
10,4,2,15,3,5.94
12,1,4,35,1,1.37
17,1,1,44,3,4.94
6,5,2,21,1,4.35
5,1,5,11,2,2.61
9,3,3,41,3,3.67
14,3,2,23,4,2.93
9,2,4,33,2,2.4
9,3,5,18,3,1.82
12,3,5,31,4,7.32
6,2,5,10,4,5.83
17,4,5,20,4,9.61
12,1,4,47,4,8.17
6,2,5,33,4,8.04
19,3,6,21,2,7.26
10,3,1,25,2,2.58
17,5,6,43,1,2.68
16,2,2,47,1,2.92
19,3,5,26,1,2.52
14,5,2,27,2,9.78
8,2,6,17,4,6.57
20,2,6,37,1,3.77
12,3,6,22,2,4.35
13,5,2,29,4,3.37
5,2,4,37,4,8.81
18,2,4,35,3,7.01
15,2,3,13,2,1.66
5,4,4,22,3,1.05
8,4,5,36,4,2.5
11,4,1,16,4,6.95
11,3,2,13,1,8.88
12,3,4,10,1,8.47
18,5,2,45,3,5.05
6,4,5,37,3,6.01
11,3,2,24,2,9.65
6,2,2,10,4,7.66
6,1,4,29,4,6.02
10,2,4,15,3,1.27
5,4,3,11,1,7.46
17,5,6,43,3,6.22
17,5,2,11,1,2.83
20,3,1,16,3,8.99
18,2,1,36,3,2.04
9,5,5,38,1,9.23
19,4,5,28,4,3.5
10,5,4,47,4,6.3
12,1,5,24,1,8.82
17,5,5,49,2,8.32
9,2,6,44,4,9.25
19,3,3,13,3,8.35
7,2,4,18,2,3.04
9,2,2,37,4,2.29
15,2,1,27,4,6.83
20,5,2,22,2,3.58
8,3,3,33,4,8.95
17,5,4,13,3,1.32
19,2,2,21,4,1.21
17,1,3,41,4,1.65
6,2,3,40,4,1.56
13,1,6,39,1,8.15
18,4,1,43,2,7.51
17,4,4,24,4,7.89
14,3,3,46,4,4.67
16,2,6,33,4,6.76
7,5,6,24,4,6.1
13,1,6,25,4,9.66
12,1,6,45,3,7.92
7,1,5,30,2,4.21
11,3,6,43,3,7.56
6,1,5,26,3,5.2
