car,truck,bus,bicycle,lorry,Average speed(Km/h)
6,2,5,26,7,25.18
5,4,4,13,6,12.71
14,4,8,28,9,19.02
15,3,8,19,4,16.14
5,2,6,32,2,26.71
17,6,5,17,3,15.71
20,3,4,39,3,20.63
6,4,7,23,5,24.87
4,6,3,41,3,28.86
10,3,8,41,7,23.67
5,2,2,16,3,16.90
3,3,6,13,9,12.79
13,4,7,22,4,27.88
19,5,8,24,5,19.68
15,4,6,15,3,25.94
2,1,4,33,6,26.45
3,6,7,21,7,27.51
8,2,7,22,1,21.91
5,3,8,30,7,28.93
20,1,6,16,7,29.47
14,4,5,10,5,11.88
12,1,2,15,6,19.26
10,6,4,30,9,29.08
17,6,3,25,2,20.74
14,4,5,11,1,13.47
16,4,1,37,4,19.51
6,4,4,42,8,29.78
16,4,7,22,3,19.54
17,1,1,22,1,19.37
16,2,3,14,7,22.18
17,5,6,30,6,16.42
17,2,5,9,2,24.78
9,1,5,26,8,20.37
14,4,3,14,1,27.20
2,1,5,18,1,18.08
12,3,7,26,9,27.55
17,1,6,26,6,18.54
4,6,1,39,4,26.90
16,6,2,22,2,10.54
12,4,4,22,5,18.52
4,1,3,41,9,12.81
20,5,2,36,5,24.82
1,6,6,25,2,26.48
1,5,3,12,7,24.16
9,1,3,10,1,21.70
17,4,2,30,8,20.50
8,3,7,41,6,20.82
3,2,2,32,9,28.79
17,6,7,15,2,24.32
11,3,1,40,6,14.26
14,6,8,13,4,24.50
11,1,3,23,4,17.15
17,5,6,30,4,13.36
7,3,8,42,9,19.84
1,6,2,13,1,21.14
8,6,2,21,8,28.48
15,4,1,38,3,19.57
9,4,3,37,2,10.69
5,1,5,19,2,18.86
14,2,4,15,7,20.57
4,3,5,24,7,27.91
17,4,4,34,9,27.67
16,6,4,31,9,27.54
8,5,5,30,3,11.82
20,3,8,32,8,15.40
15,3,3,19,9,15.87
18,4,7,42,2,23.84
11,1,4,17,7,26.44
14,5,5,42,2,27.59
18,5,2,8,2,13.48
9,1,6,18,3,15.92
13,6,2,38,2,19.88
12,2,1,19,8,23.03
13,5,4,37,3,12.04
17,6,5,35,9,16.25
17,4,3,10,9,17.87
18,3,6,23,9,27.31
11,5,6,12,3,22.82
8,6,2,41,8,12.35
2,3,2,9,2,24.93
9,1,1,24,9,23.48
18,6,1,19,2,21.98
13,2,1,15,7,16.81
11,5,2,31,5,16.33
11,1,4,27,8,28.19
9,1,1,12,8,29.66
19,2,6,22,3,21.35
8,2,3,31,8,21.76
6,4,7,41,5,26.45
15,3,4,40,5,19.70
15,5,4,31,3,15.61
3,6,3,30,7,11.09
1,5,1,31,1,28.54
3,2,1,36,6,28.03
1,5,1,29,5,16.88
1,4,5,19,1,12.53
5,2,2,33,4,28.20
1,1,7,14,7,13.96
9,4,2,42,1,26.79
5,5,1,35,3,13.75
1,3,6,15,2,11.16
19,2,5,39,8,28.28
5,2,6,33,4,20.51
19,2,8,28,2,26.77
2,2,8,9,3,10.19
6,2,2,19,7,12.03
13,3,7,11,9,21.88
8,2,5,13,7,25.48
12,1,8,31,9,10.48
11,2,2,38,3,28.01
4,1,4,26,8,14.79
19,1,2,42,3,27.97
9,2,7,22,5,24.15
10,4,8,13,6,23.08
11,2,4,34,3,27.45
11,4,2,29,3,27.34
3,3,1,31,4,25.61
8,3,4,36,2,24.20
10,6,5,27,5,11.38
9,5,1,37,2,11.55
12,5,1,36,9,18.29
2,5,2,42,3,26.04
5,3,8,35,5,22.68
4,6,3,22,7,25.93
2,5,2,13,6,22.76
12,3,1,19,3,11.41
10,4,1,35,3,11.07
9,5,5,12,3,11.49
3,2,6,22,2,20.92
10,3,6,31,8,27.81
15,5,1,41,3,19.37
14,4,4,18,4,16.45
7,3,6,37,2,11.41
12,3,3,41,1,10.04
16,2,6,39,3,10.09
3,5,8,22,9,11.42
12,5,7,31,3,21.04
3,3,3,36,9,14.95
19,5,7,12,6,29.41
5,1,4,19,1,28.47
17,2,3,15,5,15.21
2,3,3,20,6,14.39
1,2,7,36,4,24.03
13,1,4,9,9,16.44
5,6,4,11,9,16.24
13,4,8,15,4,18.53
7,3,3,40,6,28.18
18,5,5,24,2,27.79
9,5,4,34,9,20.67
10,4,8,12,4,17.89
15,2,1,16,7,26.49
10,2,1,33,4,16.94
14,1,8,37,7,23.25
6,6,1,16,2,12.88
10,5,4,37,9,16.18
17,1,4,37,2,18.21
15,2,2,20,1,11.30
14,6,4,22,3,12.41
16,6,3,14,8,19.75
11,6,4,16,9,17.53
16,5,3,27,1,22.15
3,1,6,19,8,15.28
4,3,1,41,6,16.42
4,1,6,16,4,10.66
16,1,2,16,9,14.48
19,1,1,39,5,15.81
18,5,1,20,3,21.75
6,6,4,38,4,24.36
20,2,2,9,3,10.02
4,2,1,33,1,23.90
18,6,4,42,4,29.89
16,6,3,31,6,14.29
9,5,7,16,7,24.38
18,3,8,14,1,24.31
1,5,7,20,7,15.06
7,3,6,15,2,20.20
7,2,6,11,6,18.87
11,6,2,41,5,18.17
12,5,2,18,1,14.62
17,3,7,37,5,15.91
4,5,2,12,8,13.61
7,3,7,41,4,22.05
16,5,2,12,9,14.00
1,4,6,40,1,14.79
9,5,3,30,2,29.41
3,6,6,17,7,21.38
11,1,6,18,6,26.36
1,2,8,37,8,25.13
20,5,2,24,7,21.37
10,5,1,21,1,27.66
9,4,8,36,6,22.98
13,2,7,25,2,11.67
18,5,2,11,8,21.87
19,6,8,28,8,12.81
3,4,8,12,5,23.51
5,4,6,39,6,16.90
2,1,4,25,8,28.39
3,1,2,35,8,11.04
8,3,2,31,8,18.93
9,6,7,14,7,17.94
14,6,3,17,5,14.09
15,2,7,35,8,13.90
7,2,1,11,2,11.73
16,1,7,13,1,11.83
3,4,3,31,9,21.29
4,1,7,24,1,25.13
8,2,3,39,8,25.11
19,1,3,24,3,17.89
8,2,6,34,1,20.43
10,5,6,30,6,20.36
2,1,8,38,5,21.77
6,3,3,10,4,25.45
18,3,7,42,3,19.19
7,6,6,32,8,22.95
19,4,7,24,6,25.28
4,6,6,38,4,19.77
15,3,7,24,9,16.76
16,4,4,28,6,19.23
4,2,8,20,2,19.97
8,3,2,17,3,22.68
16,3,2,24,1,24.79
7,5,7,31,1,28.84
5,5,7,29,8,14.71
14,4,3,39,4,22.82
6,3,2,39,5,13.08
12,2,6,14,5,22.66
14,5,5,35,2,20.23
14,2,8,22,7,20.87
4,2,3,25,5,16.54
8,6,6,13,6,28.69
17,1,4,42,7,15.56
6,2,1,29,6,18.10
10,4,4,24,2,20.07
15,3,1,35,8,14.34
8,3,8,15,6,10.41
1,4,6,8,3,13.71
14,3,2,8,5,28.87
1,2,8,33,2,17.86
18,2,1,22,7,12.68
1,3,3,9,6,28.74
19,6,4,12,1,21.11
11,4,7,17,9,26.75
9,3,5,31,4,14.15
8,4,7,16,3,22.38
1,4,5,38,6,29.99
12,4,7,27,2,21.92
19,4,2,42,3,13.65
12,3,3,18,1,25.83
1,5,3,10,5,28.45
10,2,3,25,1,25.70
16,3,5,9,5,16.52
5,4,7,11,2,28.96
10,3,8,22,7,16.20
12,4,8,33,2,10.60
10,2,6,35,3,27.43
9,4,2,36,3,27.48
1,6,2,11,2,25.81
3,2,5,42,1,10.03
20,1,5,21,2,14.77
1,2,3,42,9,29.64
17,5,4,20,4,21.82
17,5,5,31,5,22.52
20,6,4,42,3,24.20
11,6,7,19,6,27.54
12,4,8,39,7,14.78
12,5,4,28,9,17.42
18,6,4,25,8,29.03
2,3,5,42,1,27.06
2,3,5,17,8,20.87
11,5,3,39,4,20.78
17,6,5,36,1,13.99
13,5,8,11,6,19.98
6,5,7,21,9,20.91
1,2,4,28,7,16.55
8,4,8,36,8,26.18
10,3,2,41,6,20.86
5,4,5,11,4,10.81
10,2,2,29,9,11.55
3,2,3,26,4,18.74
17,5,2,18,2,27.66
18,1,2,38,1,25.61
12,1,8,10,6,14.78
16,6,8,23,4,10.19
10,2,1,41,8,25.54
6,1,2,40,8,14.66
16,6,3,28,1,10.30
5,4,2,19,8,15.65
5,1,3,11,5,13.65
13,5,3,16,8,10.62
7,5,4,31,7,12.40
17,5,3,18,6,29.76
2,4,2,28,8,12.63
19,6,8,22,6,22.15
20,1,6,39,8,23.44
9,2,8,17,8,29.12
17,1,7,9,3,15.98
4,5,6,29,3,15.39
10,2,4,34,7,14.97
1,2,1,37,6,10.34
7,2,6,29,4,28.59
5,5,2,39,7,11.45
1,1,8,27,3,17.09
12,1,1,28,8,19.45
10,2,4,38,5,23.89
1,5,4,41,7,12.02
7,6,4,35,7,15.28
17,5,7,19,3,11.42
14,3,7,34,2,11.88
5,2,1,26,3,11.57
14,4,2,15,5,20.77
2,4,4,16,9,18.47
20,2,5,41,7,29.53
9,2,2,35,1,23.54
1,1,7,40,7,17.11
14,2,8,30,5,19.14
14,5,5,24,9,11.36
3,1,6,28,3,10.34
11,6,2,11,3,10.70
15,2,5,16,4,16.26
19,3,3,9,8,27.37
20,6,5,30,9,16.08
8,2,3,18,4,10.79
2,4,3,27,8,14.92
9,1,5,38,4,25.13
6,3,2,26,7,12.20
17,1,3,28,8,23.26
6,4,7,22,2,26.53
17,6,3,16,6,13.34
15,5,4,15,2,16.55
15,6,7,17,6,21.67
4,4,3,14,6,28.20
12,3,8,42,1,15.81
1,1,7,32,9,18.09
15,6,1,20,5,12.45
14,3,6,8,1,19.23
4,6,6,15,4,11.57
10,6,6,25,5,22.63
15,4,2,25,3,12.54
12,3,5,37,1,25.64
12,3,1,40,6,26.66
13,6,6,27,6,17.07
5,5,2,40,9,10.29
6,3,5,18,8,17.74
5,1,6,39,2,23.71
9,1,3,30,7,17.80
3,1,7,14,3,26.07
3,4,1,42,3,10.41
13,1,6,21,1,23.52
5,1,2,28,2,27.69
20,3,5,14,3,15.57
14,3,4,18,1,11.10
13,6,5,11,3,12.01
9,6,8,29,8,29.34
15,5,6,39,4,15.64
16,6,7,31,9,10.59
4,5,3,25,4,17.44
5,2,5,39,9,25.72
14,4,2,20,3,13.53
1,3,2,33,5,16.53
20,5,1,8,4,16.39
16,6,5,23,8,13.98
1,2,7,24,3,12.46
11,5,7,16,7,26.37
2,3,5,25,3,14.63
4,6,4,11,9,23.91
18,4,3,27,6,20.10
11,4,7,33,2,28.53
7,4,2,23,3,22.07
20,4,2,31,7,18.46
9,4,4,15,6,11.22
19,3,7,25,4,29.03
7,5,2,31,5,19.18
7,5,8,30,1,22.70
20,3,8,31,6,18.03
20,5,3,19,8,16.35
12,6,4,37,7,22.42
14,6,2,28,6,22.13
19,6,7,16,5,27.69
11,5,3,20,9,10.98
15,4,6,23,3,12.28
11,3,7,42,9,22.87
16,1,1,37,2,14.93
20,4,7,24,2,11.18
13,1,6,33,1,25.08
5,3,7,38,3,16.67
8,5,2,16,3,24.52
9,1,5,26,4,27.99
16,6,7,39,8,14.45
16,2,2,30,8,16.63
12,6,6,10,3,28.66
